City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Castro,BR,-24.7911,-50.0119,68.7,82,69,8.63,broken clouds
1,Puerto Ayora,EC,-0.7393,-90.3518,80.56,80,56,10.47,broken clouds
2,Nanakuli,US,21.3906,-158.1547,73.62,77,40,5.75,scattered clouds
3,Atuona,PF,-9.8,-139.0333,78.78,77,36,15.64,light rain
4,Albany,US,42.6001,-73.9662,77.95,51,98,1.01,overcast clouds
5,Progreso,MX,21.2833,-89.6667,88.11,52,77,9.73,broken clouds
6,Kapaa,US,22.0752,-159.319,73.11,84,81,1.99,broken clouds
7,Bathsheba,BB,13.2167,-59.5167,86.61,62,75,21.85,broken clouds
8,Port Alfred,ZA,-33.5906,26.891,65.17,90,100,1.99,overcast clouds
9,Cocobeach,GA,1.0002,9.5823,79.36,81,98,4.65,overcast clouds
10,Hobart,AU,-42.8794,147.3294,60.66,76,100,9.22,overcast clouds
11,Bredasdorp,ZA,-34.5322,20.0403,60.1,65,100,7.87,overcast clouds
12,Ovsyanka,RU,55.9575,92.5519,31.23,90,12,4.09,few clouds
13,Narsaq,GL,60.9167,-46.05,36.84,79,31,4.76,scattered clouds
14,Gualeguay,AR,-33.1416,-59.3097,67.82,42,0,3.4,clear sky
15,Rikitea,PF,-23.1203,-134.9692,77.67,71,6,19.3,light rain
16,Erenhot,CN,43.6475,111.9767,38.53,23,5,6.69,clear sky
17,Bambous Virieux,MU,-20.3428,57.7575,80.22,73,75,17.27,light rain
18,Busselton,AU,-33.65,115.3333,58.55,71,0,7.99,clear sky
19,Geraldton,AU,-28.7667,114.6,66.61,77,0,12.66,clear sky
20,Cape Town,ZA,-33.9258,18.4232,65.1,63,20,16.11,few clouds
21,Mataura,NZ,-46.1927,168.8643,53.47,98,76,2.15,broken clouds
22,Asau,RO,46.4333,26.4,56.95,36,51,1.61,broken clouds
23,Butaritari,KI,3.0707,172.7902,80.67,78,86,11.95,light rain
24,Althofen,AT,46.8818,14.4676,71.24,51,77,2.13,broken clouds
25,Port Elizabeth,ZA,-33.918,25.5701,68.09,96,75,16.11,light intensity drizzle
26,Missoula,US,47.0166,-113.8009,16.2,50,82,4.34,broken clouds
27,Thompson,CA,55.7435,-97.8558,3.36,66,100,17.27,overcast clouds
28,Ilulissat,GL,69.2167,-51.1,7.74,78,40,15.37,scattered clouds
29,Severo-Kurilsk,RU,50.6789,156.125,29.12,72,86,26.84,overcast clouds
30,Lasa,IT,46.6166,10.7002,70.7,77,74,1.07,broken clouds
31,Hermanus,ZA,-34.4187,19.2345,63.81,70,100,7.74,overcast clouds
32,Hals,DK,56.9961,10.3081,48.0,91,100,10.63,overcast clouds
33,Jamestown,US,42.097,-79.2353,44.53,69,100,18.41,light rain
34,Iskateley,RU,67.6803,53.1512,25.68,92,100,23.09,light snow
35,Carnarvon,AU,-24.8667,113.6333,75.27,73,0,12.66,clear sky
36,Yumen,CN,40.2833,97.2,49.8,9,1,7.02,clear sky
37,Ureki,GE,41.9956,41.7786,49.96,57,100,4.36,light rain
38,Krasnoselkup,RU,65.7,82.4667,33.98,97,100,11.68,overcast clouds
39,Pangai,TO,-19.8,-174.35,81.79,78,41,14.81,scattered clouds
