City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
3,Atuona,PF,78.78,light rain,-9.8,-139.0333,Villa Enata
4,Albany,US,77.95,overcast clouds,42.6001,-73.9662,Macho lodge
5,Progreso,MX,88.11,broken clouds,21.2833,-89.6667,Playa Linda Hotel
7,Bathsheba,BB,86.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
9,Cocobeach,GA,79.36,overcast clouds,1.0002,9.5823,Hotel Esperance
15,Rikitea,PF,77.67,light rain,-23.1203,-134.9692,People ThankYou
17,Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575,Casa Tia Villa
23,Butaritari,KI,80.67,light rain,3.0707,172.7902,Isles Sunset Lodge
35,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
39,Pangai,TO,81.79,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
46,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
48,Viru,PE,78.44,broken clouds,-8.4167,-78.75,AYAR PORTENTOS DE MONTAÑA
53,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
55,Tabas,IR,86.54,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
60,Brigantine,US,80.2,broken clouds,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
64,Tual,ID,83.64,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
66,Mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
67,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
77,Hithadhoo,MV,83.97,overcast clouds,-0.6,73.0833,Scoop Guest House
79,Najran,SA,92.05,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
81,Ugoofaaru,MV,84.56,overcast clouds,5.6667,73.0,Ungoofaaru Inn
83,Inhambane,MZ,82.38,scattered clouds,-23.865,35.3833,Oceano
85,Mahibadhoo,MV,85.32,overcast clouds,3.7833,72.9667,Omadhoo Inn
86,Lat Yao,TH,87.71,light rain,15.751,99.7893,โรงแรมสอระ
87,Marsh Harbour,BS,76.78,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
89,Pyapon,MM,83.41,few clouds,16.2833,95.6833,Aung Naing Thu Motel
90,Lethem,GY,86.05,scattered clouds,3.3803,-59.7968,Savannah Inn
93,Pedernales,DO,87.55,few clouds,18.0384,-71.744,Hotel Costa Marina
99,Malakal,SS,94.53,light rain,9.5334,31.6605,Nile Palace Hotel
103,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
104,Gamba,GA,81.41,light rain,-2.65,10.0,Macho lodge
105,Kavieng,PG,82.65,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
110,Cayenne,GF,82.44,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
112,Yulara,AU,82.24,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
